# Every Cx table read reachable from the seven body-checking entry points, and
# what accounts for it. scripts/journal-reads/check.py holds this file to the
# tree in both directions: a read that is not here fails the gate, and a row
# whose read has gone fails it too.
#
#   <module>.dawn::<fn>::<field> | <verdict> | <detail> | <reason>
#
#   logged     <detail> names the semantic_reads fact (or facts) that record
#              the answer, optionally as Fact@<site> when the recording happens
#              in a caller or a callee rather than here. The gate checks the
#              variant exists, that the named function still builds it, and
#              that the two functions still call one another.
#   product    <detail> names the Cx field body_product.assemble reinstalls
#              from the product, which is what makes the read body-local. The
#              gate checks assemble still writes it.
#   write      the read is the old value inside that same field's own
#              `Cx { .. }` update. <detail> is empty.
#   uncovered  a real hole. <detail> is `backlog`, or
#              `compensated-by=<site>` naming the admission-side guard that
#              re-asks the question; the gate checks that guard still reads
#              the field.
#
# A `logged` row proves a fact was recorded in a function on the same call
# chain. It does not prove the fact's answer determines this read's answer;
# that is what the reason column is for, and it is written by a person.
#
# Regenerate the skeleton with `check.py --record`. The reasons are not
# generated.
check/checker.dawn::alias_binding_evar::aliases | uncovered | backlog | the diagnostic path walks every local alias to name the one that bound an unsolved effect variable; no fact records the walk
check/checker.dawn::alias_binding_evar::module_exports | uncovered | backlog | the same walk continues into every imported surface, and an alias added to any of them changes the message
check/checker.dawn::assignable_read::function_reads | write |  | the old value of cx.function_reads inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::assoc_impl_of::impl_table | uncovered | backlog | an associated member resolves its impl directly; cx.implementation_presence_read is the recorded form and this path does not use it
check/checker.dawn::bind_dicts::frame | write |  | the old value of cx.frame inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::bind_dicts::traits | uncovered | backlog | dictionary binding reads the whole TraitI, of which only the name has a fact (TraitName)
check/checker.dawn::builtin_sig::bins | logged | FunctionAnswer@check/checker.dawn::lookup_fn_sig_read | the builtin table is the last step of one name lookup, and lookup_fn_sig_read records the whole answer including absence
check/checker.dawn::builtin_sig::hidden_bins | logged | FunctionAnswer@check/checker.dawn::lookup_fn_sig_read | which builtins this module may name only narrows that same recorded lookup
check/checker.dawn::builtin_visible::is_std_module | logged | FunctionAnswer@check/checker.dawn::lookup_fn_sig_read+FunctionCandidates@check/checker.dawn::fn_pool_read | the std-only gate is asked from the lookup and from the did-you-mean pool, and both record their answer
check/checker.dawn::capture_witness::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::capture_witness::frame | write |  | the old value of cx.frame inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::cell_take_ok::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_call::adts | uncovered | backlog | the evidence ADT is opened for its field count to index the environment slot; ConstructorFields covers that shape but is not asked here
check/checker.dawn::check_fn_inferred_body::fns | uncovered | backlog | sealing an inferred return re-reads the module table to confirm the name still resolves to the entry signature; scalar replay never admits an inferred body, so nothing owes the answer yet
check/checker.dawn::check_fn_inferred_body::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_handle::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_lambda::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_lambda::frame | write |  | the old value of cx.frame inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::check_loop_jump::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_loop_jump::loop_jumps | write |  | the old value of cx.loop_jumps inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::check_or_pattern::diags | product | diags | body_product.assemble reinstalls cx.diags from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_param_default::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_pattern::function_reads | logged | ExportDiagnosticAnswer | the answer is recorded as ExportDiagnosticAnswer, so admission can re-ask it on the candidate revision or refuse
check/checker.dawn::check_pattern::function_reads | write |  | the old value of cx.function_reads inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::check_pattern::module_exports | logged | ExportDiagnosticAnswer | a qualified pattern asks one imported surface for one name and the diagnostic answer is recorded
check/checker.dawn::check_propagate_typed::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_stmt::diags | product | diags | body_product.assemble reinstalls cx.diags from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_stmt::frame | product | frame | body_product.assemble reinstalls cx.frame from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_stmt::frame | write |  | the old value of cx.frame inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::check_stmt::in_test | product | in_test | body_product.assemble reinstalls cx.in_test from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_stmt::loop_jumps | product | loop_jumps | body_product.assemble reinstalls cx.loop_jumps from the product, so this is body-local state and not a question about the module environment
check/checker.dawn::check_stmt::loop_jumps | write |  | the old value of cx.loop_jumps inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
check/checker.dawn::check_test::frame | write |  | the old value of cx.frame inside its own Cx update; writer ownership is scripts/incremental-semantics-contract/journal-coverage.py's inventory
