# The Tile IR feature ledger: one row per PUBLIC OPCODE of the frozen table,
# and what this backend has done about it. Knife T0; ruling 6 of the full
# coverage prestudy (2026-09-05), which is recorded in
# docs/tile-backend-design.md 2.4.
#
# This is the SECOND ledger. scripts/leetgpu-diff/problems.txt is the first
# and says which leetgpu problems the backend solves; this one says which
# Tile IR features it implements. The two are nearly orthogonal (the prestudy
# measured the overlap at two to four problems), so they are two promises and
# not two views of one. Neither replaces the other.
#
# The authority for the name, the code and the version is
# NVIDIA/cuda-tile@be0889cd,
# include/cuda_tile/Dialect/CudaTile/IR/BytecodeOpcodes.td (100 public
# opcodes, 0x00 to 0x75 with the two frozen gaps 0x19-0x24 and 0x34-0x39) and
# Ops.td's second string argument for the version. The authority for what is
# IMPLEMENTED is the OP_ table in packages/tileir/src/bytecode.dawn: check.py
# holds this file to it in both directions, so a knife that adds an opcode
# without adding its row is red, and so is a row that claims one the writer
# does not emit.
#
# COLUMNS
#
#   name        the dialect's mnemonic
#   code        its frozen opcode
#   since       the bytecode version it entered: 13.1, 13.2 or 13.3
#   status      implemented | unimplemented | deferred | structural
#   knife       the knife that implemented it, or the knife the prestudy
#               plans it for (T1 to T10, T15). A `T` prefix names a knife of
#               the coverage plan rather than one of the leetgpu knives; it
#               no longer means "not yet", because those knives have started
#               landing. Which of them have is check.py's LANDED_KNIVES, and
#               it is held in both directions: an `implemented` row may not
#               name a knife nobody has cut, and an `unimplemented` row may
#               not name one that has landed
#   layer       the highest layer that covers it, 0 to 3
#   evidence    golden:<kernel>  a scripts/tile-golden kernel whose .mlir
#                                contains the op and which a layer-2 program
#                                launches on the device
#               mutant:<family>  a mutant family that reddens on it
#               writer:<fn>      the function in bytecode.dawn that emits it
#   exemption   a named reason where a layer is impossible rather than
#               merely absent, or `-`
#
# THE THREE LAYERS are docs/tile-backend-design.md 6.2:
#
#   1  the text and bytecode goldens, and `tileiras` accepting the bytecode
#   2  a second opinion from the local 3080 against a hand-written host
#      reference, through scripts/tile-gpu-diff
#   3  a mutant that has to go red
#
# Ruling 1 of the prestudy sets the BAR AT LAYER 2, not layer 3: every
# implemented opcode here reaches it, so no implemented row carries a layer-2
# exemption today. Layer 3 is recorded where it exists and is not owed. The
# rule for reading it, which is stricter than "a mutant reddens on a kernel
# that contains the op": a mutant counts for an opcode when its anchor
# changes how THAT opcode is written or what it computes (its opcode byte, an
# attribute, a flag, an operand, or whether it is emitted at all). A mutant
# that rewrites a kernel's algorithm, a host handler or an address ladder is
# layer-2 evidence about a kernel and not layer-3 evidence about an opcode,
# so ops covered only that way are recorded at layer 2. Two judgement calls
# are written down rather than hidden: `grid-y-ignored` counts for
# get_tile_block_id although its anchor is in runtime/c/dawn_rt.c, because it
# is exactly the claim that the op's second result means something; and
# `erf-sign-not-flipped` counts for `select` and `cmpf`, because what it
# removes is that select and that compare.
#
# WHAT IS NOT AN OPCODE, and therefore has no row here:
#
#   sections    Debug (id 3), Global (id 6) and Producer (id 7, 13.3) are
#               bytecode SECTIONS. `global` 0x31 and `get_global` 0x2C have
#               rows because they are opcodes in the text dialect, but what
#               knife T7 has to build is the Global section; the Debug
#               section is deferred by ruling 4 until a toolchain ships
#               `tileirdisasm`, and the Producer section is optional and not
#               written.
#   type tags   the scalar formats and the type constructors
#               (BytecodeTypeOpcodes.td) are a separate table. Eight scalar
#               formats and four constructors are missing; knives T3 and T9
#               own them. The mutants `f64-tag-as-i64` and `bf16-tag-as-i16`
#               are theirs, not any opcode's.
#   attributes  the enum values and unit attributes (AttrDefs.td) are a
#               third table, and knife T4 built it: attrs.txt beside this
#               file, checked by the same check.py. T15 owns
#               OptimizationHints, which is a dictionary rather than a
#               domain of values and is in neither.
#
# `entry` 0x16 and `module` 0x4B are STRUCTURAL: the writer never puts either
# in the instruction stream. `module` is the file and `entry` is a record in
# the Func section, both emitted by bytecode.encode_kernel, which is what
# their evidence names. They are covered by every kernel here.
#
# name | code | since | status | knife | layer | evidence | exemption
absf                     | 0x00 | 13.1 | implemented   | 7a  | 2 | golden:erf_sweep,golden:elemops                                                                                           | -
absi                     | 0x01 | 13.1 | implemented   | 10  | 2 | golden:int_ops,golden:attn_window                                                                                         | -
addf                     | 0x02 | 13.1 | implemented   | 3   | 3 | golden:prefix_sum,golden:vadd,mutant:addf-no-rounding                                                                     | -
addi                     | 0x03 | 13.1 | implemented   | 3   | 2 | golden:ols_beta,golden:invert                                                                                             | -
andi                     | 0x04 | 13.1 | implemented   | 10  | 2 | golden:scatter_perm,golden:histogram                                                                                      | -
assert                   | 0x05 | 13.1 | unimplemented | T6  | 0 | -                                                                                                                         | -
assume                   | 0x06 | 13.1 | unimplemented | T6  | 0 | -                                                                                                                         | -
atomic_cas_tko           | 0x07 | 13.1 | implemented   | 14  | 3 | golden:cas_swap,mutant:atomic-cas-writes-an-rmw-mode,mutant:cas-compare-ignored                                           | -
atomic_rmw_tko           | 0x08 | 13.1 | implemented   | 14  | 3 | golden:histogram,mutant:atomic-rmw-claims-weak-ordering,mutant:atomic-as-plain-store                                      | -
bitcast                  | 0x09 | 13.1 | implemented   | 10  | 2 | golden:int_ops                                                                                                            | -
break                    | 0x0A | 13.1 | implemented   | T5  | 3 | golden:loop_count,golden:loop_none,mutant:break-values-missing,mutant:loop-break-condition-inverted                       | -
broadcast                | 0x0B | 13.1 | implemented   | 3   | 2 | golden:ols_beta,golden:invert                                                                                             | -
cat                      | 0x0C | 13.1 | implemented   | T2  | 3 | golden:shape_ops,mutant:cat-operands-swapped,mutant:cat-dim-swapped                                                       | -
ceil                     | 0x0D | 13.1 | implemented   | 7b  | 2 | golden:mathops                                                                                                            | -
cmpf                     | 0x0E | 13.1 | implemented   | 7a  | 3 | golden:leaky_relu,golden:compact,mutant:erf-sign-not-flipped                                                              | -
cmpi                     | 0x0F | 13.1 | implemented   | 7a  | 3 | golden:invert,golden:copy,mutant:mask-all-true                                                                            | -
constant                 | 0x10 | 13.1 | implemented   | 3   | 2 | golden:ols_beta,golden:invert                                                                                             | -
continue                 | 0x11 | 13.1 | implemented   | 5   | 2 | golden:foldif,golden:lora_hidden                                                                                          | -
cos                      | 0x12 | 13.1 | implemented   | T1  | 2 | golden:trig_sweep                                                                                                         | -
cosh                     | 0x13 | 13.1 | implemented   | T1  | 2 | golden:trig_sweep                                                                                                         | -
divf                     | 0x14 | 13.1 | implemented   | 7a  | 2 | golden:silu,golden:sigmoid                                                                                                | -
divi                     | 0x15 | 13.1 | implemented   | 10  | 2 | golden:subarray_sum2d,golden:subarray_sum3d                                                                               | -
entry                    | 0x16 | 13.1 | structural    | 3   | 2 | golden:ols_beta,writer:encode_kernel                                                                                      | -
exp                      | 0x17 | 13.1 | implemented   | 7b  | 2 | golden:silu,golden:sigmoid                                                                                                | -
exp2                     | 0x18 | 13.1 | implemented   | 7b  | 2 | golden:mathops                                                                                                            | -
exti                     | 0x25 | 13.1 | implemented   | 10  | 3 | golden:invert,golden:count_eq,mutant:exti-sign-extends                                                                    | -
extract                  | 0x26 | 13.1 | implemented   | T2  | 3 | golden:shape_ops,mutant:extract-indices-reversed                                                                          | -
floor                    | 0x27 | 13.1 | implemented   | 7b  | 2 | golden:mathops                                                                                                            | -
fma                      | 0x28 | 13.1 | implemented   | 7a  | 2 | golden:linrec,golden:erf_sweep                                                                                            | -
for                      | 0x29 | 13.1 | implemented   | 5   | 3 | golden:foldif,golden:lora_hidden,mutant:for-results-not-rolled-back,mutant:loop-token-not-carried,mutant:region-stack-pop | -
ftof                     | 0x2A | 13.1 | implemented   | 11  | 2 | golden:dot_f16                                                                                                            | -
ftoi                     | 0x2B | 13.1 | implemented   | 10  | 3 | golden:int_ops,golden:sort_rank,mutant:ftoi-rounds-instead-of-truncates                                                   | -
get_global               | 0x2C | 13.1 | unimplemented | T7  | 0 | -                                                                                                                         | -
get_index_space_shape    | 0x2D | 13.1 | deferred      | -   | 0 | -                                                                                                                         | ruling 2
get_num_tile_blocks      | 0x2E | 13.1 | implemented   | T2  | 3 | golden:grid_stride,mutant:num-tile-blocks-as-block-id                                                                     | -
